Park,Unit Code,Park Type,Region,State,Year,Recreation Visits
Wolf Trap NP for the Performing Arts,WOTR,Park (Other),National Capital ,VA,2019,402580
Women's Rights NHP,WORI,National Historical Park,Northeast ,NY,2019,39064
World War II Memorial,WWII,National Memorial,National Capital ,DC,2019,4831327
Wrangell-St. Elias NP & PRES,WRST,National Park,Alaska,AK,2019,74518
Wright Brothers NMEM,WRBR,National Memorial,Southeast ,NC,2019,400135
Wupatki NM,WUPA,National Monument,Intermountain ,AZ,2019,187059
Yellowstone NP,YELL,National Park,Intermountain ,WY,2019,4020288
Yosemite NP,YOSE,National Park,Pacific West ,CA,2019,4422861
Yukon-Charley Rivers NPRES,YUCH,National Preserve,Alaska,AK,2019,1114
Zion NP,ZION,National Park,Intermountain ,UT,2019,4488268
