Park,Unit Code,Park Type,Region,State,Year,Recreation Visits
Clara Barton NHS,CLBA,National Historic Site,National Capital ,MD,2019,4100
Colonial NHP,COLO,National Historical Park,Northeast ,VA,2019,3327268
Colorado NM,COLM,National Monument,Intermountain ,CO,2019,397032
Congaree NP,CONG,National Park,Southeast ,SC,2019,159445
Coronado NMEM,CORO,National Memorial,Intermountain ,AZ,2019,130328
Cowpens NB,COWP,National Battlefield,Southeast ,SC,2019,223413
Crater Lake NP,CRLA,National Park,Pacific West ,OR,2019,704512
Craters of the Moon NM & PRES,CRMO,National Monument,Pacific West ,ID,2019,272224
Cumberland Gap NHP,CUGA,National Historical Park,Southeast ,KY,2019,704598
Cumberland Island NS,CUIS,National Seashore,Southeast ,GA,2019,53904
Curecanti NRA,CURE,National Recreation Area,Intermountain ,CO,2019,836034
Cuyahoga Valley NP,CUVA,National Park,Midwest ,OH,2019,2237997
Dayton Aviation Heritage NHP,DAAV,National Historical Park,Midwest ,OH,2019,94709
De Soto NMEM,DESO,National Memorial,Southeast ,FL,2019,187880
Death Valley NP,DEVA,National Park,Pacific West ,CA,2019,1740945
Delaware Water Gap NRA,DEWA,National Recreation Area,Northeast ,PA,2019,3374865
Denali NP & PRES,DENA,National Park,Alaska,AK,2019,601152
Devils Postpile NM,DEPO,National Monument,Pacific West ,CA,2019,147864
Devils Tower NM,DETO,National Monument,Intermountain ,WY,2019,450785
Dinosaur NM,DINO,National Monument,Intermountain ,CO,2019,298965
Dry Tortugas NP,DRTO,National Park,Southeast ,FL,2019,79200
Edgar Allan Poe NHS,EDAL,National Historic Site,Northeast ,PA,2019,15527
Effigy Mounds NM,EFMO,National Monument,Midwest ,IA,2019,65581
Eisenhower NHS,EISE,National Historic Site,Northeast ,PA,2019,47277
El Malpais NM,ELMA,National Monument,Intermountain ,NM,2019,158924
El Morro NM,ELMO,National Monument,Intermountain ,NM,2019,68867
Eleanor Roosevelt NHS,ELRO,National Historic Site,Northeast ,NY,2019,47630
Eugene O'Neill NHS,EUON,National Historic Site,Pacific West ,CA,2019,2944
Everglades NP,EVER,National Park,Southeast ,FL,2019,1118300
Federal Hall NMEM,FEHA,National Memorial,Northeast ,NY,2019,264849
Fire Island NS,FIIS,National Seashore,Northeast ,NY,2019,391311
First Ladies NHS,FILA,National Historic Site,Midwest ,OH,2019,10913
Flight 93 NMEM,FLNI,National Memorial,Northeast ,PA,2019,411226
Florissant Fossil Beds NM,FLFO,National Monument,Intermountain ,CO,2019,77340
Ford's Theatre NHS,FOTH,National Historic Site,National Capital ,DC,2019,572373
Fort Bowie NHS,FOBO,National Historic Site,Intermountain ,AZ,2019,7577
Fort Caroline NMEM,FOCA,National Memorial,Southeast ,FL,2019,187658
Fort Davis NHS,FODA,National Historic Site,Intermountain ,TX,2019,51995
Fort Donelson NB,FODO,National Battlefield,Southeast ,TN,2019,254431
Fort Frederica NM,FOFR,National Monument,Southeast ,GA,2019,212330
Fort Laramie NHS,FOLA,National Historic Site,Intermountain ,WY,2019,42892
Fort Larned NHS,FOLS,National Historic Site,Midwest ,KS,2019,26958
Fort Matanzas NM,FOMA,National Monument,Southeast ,FL,2019,593788
Fort McHenry NM & HS,FOMC,National Monument,Northeast ,MD,2019,419545
Fort Necessity NB,FONE,National Battlefield,Northeast ,PA,2019,312104
Fort Point NHS,FOPO,National Historic Site,Pacific West ,CA,2019,1421349
Fort Pulaski NM,FOPU,National Monument,Southeast ,GA,2019,374290
Fort Raleigh NHS,FORA,National Historic Site,Southeast ,NC,2019,248139
Fort Scott NHS,FOSC,National Historic Site,Midwest ,KS,2019,24068
Fort Smith NHS,FOSM,National Historic Site,Midwest ,AR,2019,125500
Fort Stanwix NM,FOST,National Monument,Northeast ,NY,2019,97412
Fort Sumter and Fort Moultrie NHP,FOSU,National Historical Park,Southeast ,SC,2019,877894
Fort Union NM,FOUN,National Monument,Intermountain ,NM,2019,11063
Fort Union Trading Post NHS,FOUS,National Historic Site,Midwest ,ND,2019,12967
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West ,WA,2019,1018214
